idol_name,idol_info,profile_pic
藤森里穂,"出生: 1996年12月05日
 三圍: B86 / W60 / H88
 罩杯: D Cup
 出道日期: 2014年01月
 星座: Sagittarius
 血型: A
 身高: 157cm
 國籍: 日本",69636.jpg
姫咲はな,"出生: 2000年03月29日
 三圍: B102 / W60 / H90
 罩杯: I Cup
 出道日期: 2020年06月
 星座: Aries
 血型: n/a
 身高: 156cm
 國籍: 日本",98896.jpg
美谷朱里,"出生: 1997年04月14日
 三圍: B83 / W58 / H86
 罩杯: C Cup
 出道日期: 2017年07月
 星座: Aries
 血型: A
 身高: 166cm
 國籍: 日本",167.jpg
Julia,"出生: 1987年05月24日
 三圍: B101 / W55 / H84
 罩杯: J Cup
 出道日期: 2010年04月
 星座: Gemini
 血型: AB
 身高: 158cm
 國籍: 日本",15.jpg
二階堂夢,"出生: 1999年10月27日
 三圍: B85 / W53 / H85
 罩杯: F Cup
 出道日期: 2020年04月
 星座: Scorpio
 血型: n/a
 身高: 158cm
 國籍: 日本",93407.jpg
天音まひな,"出生: 1999年07月15日
 三圍: B98 / W58 / H82
 罩杯: G Cup
 出道日期: 2020年06月
 星座: Cancer
 血型: n/a
 身高: 145cm
 國籍: 日本",99201.jpg
安齋らら,"出生: 1994年02月28日
 三圍: B105 / W58 / H89
 罩杯: K Cup
 出道日期: 2019年11月
 星座: Pisces
 血型: n/a
 身高: 161cm
 國籍: 日本",62956.jpg
天使萌,"出生: 1994年07月09日
 三圍: B84 / W57 / H82
 罩杯: D Cup
 出道日期: 2014年07月
 星座: Cancer
 血型: A
 身高: 150cm
 國籍: 日本",57.jpg
鷲尾めい,"出生: 1997年10月19日
 三圍: B104 / W59 / H89
 罩杯: J Cup
 出道日期: 2019年04月
 星座: Libra
 血型: A
 身高: 165cm
 國籍: 日本",96576.jpg
倉本すみれ,"出生: 2001年09月13日
 三圍: B85 / W57 / H85
 罩杯: C Cup
 出道日期: 2021年10月
 星座: Virgo
 血型: A
 身高: 153cm
 國籍: 日本",141064.jpg
神宮寺奈緒,"出生: 1997年02月14日
 三圍: B88 / W61 / H88
 罩杯: D Cup
 出道日期: 2017年10月
 星座: Aquarius
 血型: B
 身高: 160cm
 國籍: 日本",129.jpg
田中ねね,"出生: 1992年09月19日
 三圍: B95 / W60 / H80
 罩杯: G Cup
 出道日期: 2020年03月
 星座: Virgo
 血型: n/a
 身高: 151cm
 國籍: 日本",94366.jpg
伊藤舞雪,"出生: n/a
 三圍: B88 / W54 / H89
 罩杯: F Cup
 出道日期: 2018年03月
 星座: n/a
 血型: n/a
 身高: 160cm
 國籍: 日本",10544.jpg
桃園怜奈,"出生: 1996年07月26日
 三圍: B97 / W56 / H91
 罩杯: I Cup
 出道日期: 2015年12月
 星座: Leo
 血型: n/a
 身高: 155cm
 國籍: 日本",2734.jpg
石川澪,"出生: 2002年03月29日
 三圍: B82 / W58 / H86
 罩杯: C Cup
 出道日期: 2021年09月
 星座: Aries
 血型: n/a
 身高: 158cm
 國籍: 日本",139994.jpg
有栖花あか,"出生: 1998年02月16日
 三圍: B105 / W59 / H88
 罩杯: J Cup
 出道日期: 2020年10月
 星座: Aquarius
 血型: A
 身高: 162cm
 國籍: 日本",109157.jpg
櫻空桃,"出生: 1996年12月02日
 三圍: B90 / W58 / H86
 罩杯: G Cup
 出道日期: 2017年04月
 星座: Sagittarius
 血型: n/a
 身高: 160cm
 國籍: 日本",38.jpg
涼森玲夢,"出生: 1997年12月02日
 三圍: B87 / W58 / H85
 罩杯: F Cup
 出道日期: 2021年05月
 星座: Sagittarius
 血型: O
 身高: 160cm
 國籍: 日本",46565.jpg
彌生美月,"出生: 1998年12月06日
 三圍: B82 / W60 / H85
 罩杯: C Cup
 出道日期: 2019年08月
 星座: Sagittarius
 血型: n/a
 身高: 162cm
 國籍: 日本",54717.jpg
さつき芽衣,"出生: 2000年08月15日
 三圍: B87 / W60 / H86
 罩杯: G Cup
 出道日期: 2020年07月
 星座: Leo
 血型: n/a
 身高: 154cm
 國籍: 日本",101257.jpg
新井リマ,"出生: 2000年10月02日
 三圍: B88 / W56 / H84
 罩杯: F Cup
 出道日期: 2021年06月
 星座: Libra
 血型: n/a
 身高: 157cm
 國籍: 日本",134365.jpg
小花のん,"出生: 2001年06月27日
 三圍: B86 / W60 / H88
 罩杯: F Cup
 出道日期: n/a
 星座: Cancer
 血型: n/a
 身高: 157cm
 國籍: 日本",147999.jpg
篠田優,"出生: 1991年07月20日
 三圍: B84 / W58 / H82
 罩杯: E Cup
 出道日期: 2010年12月
 星座: Cancer
 血型: O
 身高: 155cm
 國籍: 日本",13.jpg
木下ひまり,"出生: 1996年05月20日
 三圍: B88 / W57 / H88
 罩杯: D Cup
 出道日期: 2020年04月
 星座: Taurus
 血型: n/a
 身高: 169cm
 國籍: 日本",94586.jpg
楪カレン,"出生: 2001年03月27日
 三圍: B96 / W58 / H85
 罩杯: H Cup
 出道日期: 2021年03月
 星座: Aries
 血型: n/a
 身高: 148cm
 國籍: 日本",121029.jpg
河北彩花,"出生: 1999年04月23日
 三圍: B88 / W59 / H89
 罩杯: E Cup
 出道日期: 2018年04月
 星座: Taurus
 血型: n/a
 身高: 169cm
 國籍: 日本",1229.jpg
白桃はな,"出生: 2000年05月11日
 三圍: B78 / W58 / H88
 罩杯: C Cup
 出道日期: 2020年09月
 星座: Taurus
 血型: n/a
 身高: 153cm
 國籍: 日本",108578.jpg
東條なつ,"出生: 1999年08月18日
 三圍: B78 / W55 / H85
 罩杯: C Cup
 出道日期: 2020年03月
 星座: Leo
 血型: A
 身高: 156cm
 國籍: 日本",91001.jpg
松本いちか,"出生: 2000年02月18日
 三圍: B83 / W50 / H83
 罩杯: A Cup
 出道日期: 2019年09月
 星座: Aquarius
 血型: n/a
 身高: 153cm
 國籍: 日本",57720.jpg
三上悠亞,"出生: 1993年08月15日
 三圍: B84 / W59 / H88
 罩杯: E Cup
 出道日期: 2015年05月
 星座: Leo
 血型: A
 身高: 159cm
 國籍: 日本",7.jpg
希咲アリス,"出生: 2001年03月29日
三圍: B99 / W58 / H86
罩杯: J Cup
出道日期: 2021年07月
星座: Aries
血型: n/a
身高: 162cm
國籍: 日本",135115.jpg
